Test Number,Time Taken, Swaps
0,24,312480

1,15,312480

2,15,312480

3,12,312480

4,15,312480

5,12,312480

6,12,312480

7,14,312480

8,12,312480

9,18,312480

10,6,312480

11,3,312480

12,6,312480

13,7,312480

14,6,312480

15,3,312480

16,3,312480

17,3,312480

18,3,312480

19,4,312480

20,3,312480

21,3,312480

22,3,312480

23,3,312480

24,4,312480

25,6,312480

26,6,312480

27,6,312480

28,7,312480

29,8,312480

30,3,312480

31,3,312480

32,3,312480

33,4,312480

34,3,312480

35,3,312480

36,3,312480

37,3,312480

38,3,312480

39,4,312480

